DomainName,IPAddress,Latitude,Longitude,DistanceTo,TTL,Time8B,Time64kB
prweb.com,199.83.134.9,41.8826,-87.6292,7376.94988362507,,,
bandcamp.com,67.228.60.226,32.7813,-96.802,8672.11064829265,,,
barnesandnoble.com,208.53.33.118,40.322,-111.7467,8700.08974573686,,,
mozilla.com,63.245.213.24,37.3885,-122.0741,9398.4067231215,,,
noaa.gov,129.15.96.21,35.2523,-97.4603,8485.45956285009,,,
goo.ne.jp,153.254.147.65,35.685,139.7514,8865.16482895238,,,
comsenz.com,112.64.234.169,31.0456,121.3997,8279.49260448263,,,
xrea.com,103.242.31.11,34.6864,135.52,8746.33772401527,,,
cbsnews.com,170.20.0.19,40.7662,-73.9862,6673.50658907592,,,
foxnews.com,92.123.224.35,50.1109,8.68213,599.147476114032,,,
discuz.net,140.206.160.230,31.0456,121.3997,8279.49260448263,,,
eepurl.com,23.6.127.219,52.374,4.8897,847.029646542602,,,
businessweek.com,69.191.215.14,40.7588,-73.968,6672.96234510938,,,
berkeley.edu,169.229.216.200,37.8668,-122.2536,9356.4750358199,,,
newsvine.com,50.204.7.60,29.7523,-95.367,8864.10275446618,,,
bluehost.com,174.37.183.119,47.6061,-122.3318,8374.56706609113,,,
geocities.jp,geocities.jp,0,0,5904.19023439229,,,
loc.gov,140.147.249.7,38.8516,-76.8839,6999.24406418456,,,
yolasite.com,2400:cb00:2048:1::6810:68f9,48.8566,2.35222,1076.99358649955,,,
apache.org,140.211.11.105,41.8826,-87.6292,7376.94988362507,,,
mashable.com,23.219.162.32,42.3626,-71.0843,6375.72552759532,,,
usda.gov,162.79.29.12,40.524,-105.1396,8387.40000224114,,,
nationalgeographic.com,216.146.46.10,42.9885,-71.4652,6352.65549933133,,,
whitehouse.gov,23.203.227.166,42.3626,-71.0843,6375.72552759532,,,
tripadvisor.com,192.229.182.112,34.0119,-118.4682,9598.78554725025,,,
ted.com,52.22.62.233,39.0335,-77.4838,7021.30043237676,,,
sfgate.com,174.143.228.153,29.4889,-98.3987,9058.41938289093,,,
biglobe.ne.jp,49.129.31.76,35.685,139.7514,8865.16482895238,,,
epa.gov,134.67.21.34,35.8989,-78.8801,7358.13391799612,,,
vkontakte.ru,2a00:bdc0:4:10f:1:0:615:206,59.9459,30.3778,1288.56715129747,,,
oracle.com,137.254.120.50,37.5331,-122.2471,9390.0537662545,,,
seesaa.net,59.106.98.139,34.6864,135.52,8746.33772401527,,,
examiner.com,108.166.10.199,29.4889,-98.3987,9058.41938289093,,,
cornell.edu,128.253.173.248,42.4485,-76.4804,6694.45494193439,,,
hp.com,15.217.232.245,37.3762,-122.1826,9403.60692086428,,,
nps.gov,165.83.19.13,39.7379,-104.985,8453.24568187216,,,
disqus.com,104.156.81.134,37.7697,-122.3933,9371.36157572122,,,
alexa.com,54.235.82.60,39.0335,-77.4838,7021.30043237676,,,
mysql.com,137.254.60.6,37.5331,-122.2471,9390.0537662545,,,
house.gov,143.228.126.60,38.8933,-77.0146,7003.90467631432,,,
sphinn.com,208.80.6.168,37.9073,-122.282,9353.39696452318,,,
boston.com,185.31.17.153,52.2055,7.54486,665.490402798701,,,
techcrunch.com,192.0.79.32,37.7484,-122.4156,9374.32576416622,,,
un.org,157.150.34.32,40.7528,-73.9725,6673.69666465596,,,
squarespace.com,198.185.159.146,40.5021,-75.3765,6778.45765270839,,,
icq.com,178.237.20.20,55.7956,37.5433,1448.38316721012,,,
freewebs.com,75.98.17.24,42.4246,-71.2465,6381.05663222635,,,
ezinearticles.com,65.156.232.36,44.3906,-88.031,7190.9232221713,,,
ucoz.ru,217.199.217.120,55.7126,37.679,1454.71804186587,,,
independent.co.uk,195.234.240.19,51.5015,-0.190615,1195.46103186004,,,
mediafire.com,205.196.120.12,30.0983,-95.357,8832.48133559173,,,
xinhuanet.com,202.108.119.194,39.9289,116.3883,7237.08660546647,,,
google.nl,195.95.178.89,44.5132,26.0806,994.996082768249,,,
reverbnation.com,204.51.171.72,37.7898,-122.3942,9369.35610070507,,,
imgur.com,185.31.17.193,52.2055,7.54486,665.490402798701,,,
irs.gov,166.123.218.220,38.8951,-77.0364,7005.08866870607,,,
webnode.com,81.0.226.68,50.0833,14.4667,213.528604726674,,,
wunderground.com,38.102.136.104,42.2795,-83.7462,7128.22024993227,,,
bizjournals.com,65.213.146.70,35.2277,-80.8439,7533.35761603708,,,
who.int,158.232.12.119,46.1956,6.1481,966.33945084427,,,
soup.io,77.244.254.19,48.1865,16.3549,327.608463946089,,,
cloudflare.com,198.41.214.162,37.7697,-122.3933,9371.36157572122,,,
people.com.cn,180.210.234.56,39.9289,116.3883,7237.08660546647,,,
ustream.tv,23.235.37.204,37.7697,-122.3933,9371.36157572122,,,
senate.gov,104.89.34.235,52.374,4.8897,847.029646542602,,,
cbslocal.com,192.0.79.33,37.7484,-122.4156,9374.32576416622,,,
ycombinator.com,54.230.15.104,47.542,-122.3123,8380.40754561502,,,
opensource.org,173.246.99.8,39.2904,-76.6122,6948.1072959443,,,
spiegel.de,62.138.116.3,51.65,6.1833,754.841265756223,,,
oaic.gov.au,202.4.229.183,-33.8678,151.2073,15883.2500033533,,,
nature.com,199.168.13.77,40.7214,-74.0052,6678.09895710069,,,
businessinsider.com,23.235.37.64,37.7697,-122.3933,9371.36157572122,,,
drupal.org,199.27.76.68,37.7697,-122.3933,9371.36157572122,,,
last.fm,64.30.224.200,26.1882,-80.1711,8246.91386560614,,,
privacy.gov.au,202.4.229.183,-33.8678,151.2073,15883.2500033533,,,
skype.com,111.221.123.232,1.2931,103.8558,9673.33136467083,,,
wikia.com,104.156.85.194,37.7697,-122.3933,9371.36157572122,,,
about.me,54.236.167.30,39.0335,-77.4838,7021.30043237676,,,
webmd.com,208.93.170.15,40.7421,-74.0018,6676.30518741504,,,
youku.com,101.227.10.19,31.0456,121.3997,8279.49260448263,,,
gmpg.org,66.155.40.24,33.7516,-84.3915,7871.56575149886,,,
fda.gov,63.80.4.10,36.9644,-120.6532,9388.49589493976,,,
redcross.org,209.62.148.51,38.9879,-76.5454,6967.85873437386,,,
github.com,192.30.252.130,37.7697,-122.3933,9371.36157572122,,,
cbc.ca,2.22.23.82,49.8043,3.23862,985.688273217814,,,
umich.edu,141.211.243.44,42.3241,-83.7113,7122.64298030701,,,
jugem.jp,210.172.182.98,35.6581,139.752,8867.71725055826,,,
shinystat.com,195.210.96.84,44.2976,8.4645,990.253968117696,,,
google.com.br,195.95.178.89,44.5132,26.0806,994.996082768249,,,
ifeng.com,210.51.19.61,39.9289,116.3883,7237.08660546647,,,
mac.com,17.146.233.11,37.3042,-122.0946,9407.69198603165,,,
wiley.com,208.215.179.146,40.749,-73.9865,6674.84248924571,,,
discovery.com,54.173.117.23,39.0335,-77.4838,7021.30043237676,,,
topsy.com,52.24.240.152,45.7788,-119.529,8464.88012401601,,,
paypal.com,66.211.169.3,37.377,-121.923,9394.04918198159,,,
google.cn,74.125.133.160,37.4192,-122.0574,9394.68873480664,,,
surveymonkey.com,75.98.93.51,37.3961,-121.9617,9393.53191348664,,,
moonfruit.com,54.229.133.33,53.3331,-6.2489,1598.02143235502,,,
dropbox.com,108.160.172.232,37.7697,-122.3933,9371.36157572122,,,
exblog.jp,180.235.96.29,35.685,139.7514,8865.16482895238,,,
google.pl,195.95.178.96,44.5132,26.0806,994.996082768249,,,
prnewswire.com,208.80.56.11,37.7749,-122.4194,9371.77568149806,,,
ft.com,216.146.46.11,42.9885,-71.4652,6352.65549933133,,,
uol.com.br,200.221.2.45,-23.5701,-46.6915,10366.5611699306,,,
behance.net,74.205.63.94,29.4889,-98.3987,9058.41938289093,,,
goodreads.com,176.32.102.208,39.0335,-77.4838,7021.30043237676,,,
netvibes.com,193.189.143.34,48.868,2.36642,1075.60025839072,,,
auda.org.au,203.29.5.141,-37.8274,145.009,15732.1111645399,,,
marketwatch.com,205.203.139.53,40.749,-73.9865,6674.84248924571,,,
ed.gov,165.224.212.39,38.8927,-76.943,6999.59464350847,,,
networksolutions.com,205.178.187.13,30.1438,-81.5401,8000.02080029179,,,
state.gov,72.166.186.151,39.0335,-77.4838,7021.30043237676,,,
sitemeter.com,63.135.90.236,34.0995,-118.4143,9587.8539145983,,,
liveinternet.ru,88.212.196.87,55.7496,37.6237,1452.19703835132,,,
ftc.gov,216.128.241.174,33.3413,-112.0598,9388.55535704226,,,
census.gov,148.129.75.218,38.8324,-76.9084,7002.253953941,,,
quantcast.com,192.184.70.150,37.7758,-122.4128,9371.44643286157,,,
economist.com,216.239.34.21,37.4192,-122.0574,9394.68873480664,,,
nydailynews.com,104.156.81.64,37.7697,-122.3933,9371.36157572122,,,
zdnet.com,50.112.160.88,45.7788,-119.529,8464.88012401601,,,
cafepress.com,192.16.31.61,34.0119,-118.4682,9598.78554725025,,,
ow.ly,54.183.130.144,37.3394,-121.895,9396.82870037617,,,
meetup.com,104.16.28.30,37.7697,-122.3933,9371.36157572122,,,
netscape.com,149.174.107.97,38.9658,-77.4817,7026.5375538557,,,
chicagotribune.com,192.187.77.17,41.9288,-87.6315,7373.23194939107,,,
theatlantic.com,192.33.31.52,37.4192,-122.0574,9394.68873480664,,,
google.com.au,195.95.178.117,44.5132,26.0806,994.996082768249,,,
1688.com,110.75.69.141,30.2936,120.1614,8269.21458707361,,,
skyrock.com,91.203.187.78,48.8652,2.34985,1076.84776339406,,,
list-manage.com,205.201.132.96,33.749,-84.388,7871.57408883046,,,
pagesperso-orange.fr,193.252.122.54,48.8311,2.26625,1083.86460392755,,,
cdbaby.com,70.102.112.164,45.5848,-122.9117,8597.22958410708,,,
friendfeed.com,173.252.88.66,37.459,-122.1781,9395.05470078656,,,
ehow.com,23.227.11.12,34.0256,-118.4716,9597.55659181381,,,
patch.com,50.56.4.27,29.4889,-98.3987,9058.41938289093,,,
upenn.edu,upenn.edu,0,0,5904.19023439229,,,
engadget.com,149.174.107.97,38.9658,-77.4817,7026.5375538557,,,
diigo.com,54.148.192.94,45.7788,-119.529,8464.88012401601,,,
com.com,208.73.211.81,34.0453,-118.2413,9586.21350793184,,,
slashdot.org,216.34.181.45,38.65,-90.5334,7810.21370208301,,,
washington.edu,128.95.155.197,47.6606,-122.2919,8367.81146939408,,,
columbia.edu,128.59.105.24,40.8006,-73.9653,6669.59644115546,,,
nhs.uk,94.245.104.73,51.5085,-0.125487,1190.90574844225,,,
abc.net.au,203.2.218.214,-33.8678,151.2073,15883.2500033533,,,
elegantthemes.com,192.124.249.9,33.6831,-117.17,9578.02054349353,,,
utexas.edu,128.83.40.147,30.2961,-97.7369,8948.30594630894,,,
yale.edu,130.132.35.53,41.3094,-72.924,6567.23479592363,,,
marriott.com,184.85.66.150,42.3626,-71.0843,6375.72552759532,,,
bigcartel.com,66.209.77.199,36.0781,-115.2124,9259.46606317363,,,
ucla.edu,128.97.27.37,33.7866,-118.2987,9614.35173565699,,,
usgs.gov,2001:49c8:4000:140c::42,38.9472,-77.3675,7021.08364008565,,,
jigsy.com,70.33.222.6,49.3163,-124.3194,8262.40565657567,,,
hexun.com,123.150.92.24,39.1422,117.1767,7347.19867484637,,,
hubpages.com,141.101.127.243,37.7802,-122.391,9370.2140074783,,,
slate.com,54.221.253.196,39.0335,-77.4838,7021.30043237676,,,
purevolume.com,69.80.200.244,38.7439,-121.2558,9231.55982565443,,,
umn.edu,134.84.119.107,44.9759,-93.2166,7410.99361392004,,,
bloglines.com,38.127.224.164,37.3338,-121.8915,9397.26710703838,,,
so-net.ne.jp,210.139.248.1,34.8177,139.062,8912.69757724881,,,
wikispaces.com,208.43.192.33,32.7813,-96.802,8672.11064829265,,,
cargocollective.com,64.49.225.181,29.4889,-98.3987,9058.41938289093,,,
howstuffworks.com,54.210.18.150,39.0335,-77.4838,7021.30043237676,,,
plala.or.jp,60.43.62.5,35.694,139.754,8864.44667700672,,,
infoseek.co.jp,133.237.60.108,35.4668,139.618,8879.14678102318,,,
jiathis.com,210.14.139.144,39.9289,116.3883,7237.08660546647,,,
usnews.com,208.77.248.169,38.9599,-77.3428,7018.57876950114,,,
xing.com,109.233.157.1,53.5557,9.98808,550.777783539483,,,
flavors.me,85.133.69.198,51.5144,-0.0941,1188.68876967568,,,
desdev.cn,118.126.10.70,31.0456,121.3997,8279.49260448263,,,
hc360.com,123.103.77.18,39.904,116.408,7240.2562390878,,,
usa.gov,173.252.148.104,39.9523,-75.1638,6808.14600404617,,,
edublogs.org,104.16.0.23,37.7697,-122.3933,9371.36157572122,,,
lycos.com,209.202.251.2,42.403,-71.259,6383.42307157126,,,
wisc.edu,144.92.9.70,43.0761,-89.4104,7373.78629658643,,,
thetimes.co.uk,143.252.148.217,51.541,-0.143901,1191.89408227437,,,
state.tx.us,state.tx.us,0,0,5904.19023439229,,,
example.com,93.184.216.34,42.1508,-70.8228,6375.38107892051,,,
shareasale.com,104.16.127.51,37.7697,-122.3933,9371.36157572122,,,
biblegateway.com,50.16.229.208,39.0335,-77.4838,7021.30043237676,,,
is.gd,104.28.29.76,37.7697,-122.3933,9371.36157572122,,,
yellowbook.com,64.199.226.142,42.0245,-91.662,7582.44343438772,,,
samsung.com,211.45.27.231,37.5003,127.037,8043.60827373513,,,
businesswire.com,204.8.173.179,37.7909,-122.4017,9369.51506618047,,,
g.co,195.95.178.117,44.5132,26.0806,994.996082768249,,,
dion.ne.jp,dion.ne.jp,0,0,5904.19023439229,,,
dagondesign.com,207.58.131.42,38.9311,-77.3489,7021.22996209457,,,
theglobeandmail.com,199.198.138.250,43.6404,-79.3995,6772.62463145073,,,
booking.com,5.57.16.220,51.5085,-0.125487,1190.90574844225,,,
storify.com,54.230.12.50,47.542,-122.3123,8380.40754561502,,,
salon.com,54.229.0.170,53.3331,-6.2489,1598.02143235502,,,
ucoz.com,213.174.157.200,39.0335,-77.4838,7021.30043237676,,,
gizmodo.com,104.156.85.129,37.7697,-122.3933,9371.36157572122,,,
psu.edu,146.186.157.8,40.8077,-77.8614,6904.05258215625,,,
smh.com.au,54.252.217.151,-33.8603,151.2016,15882.3019533557,,,
reference.com,66.235.120.211,37.8113,-122.3008,9363.80492713966,,,
sun.com,156.151.59.35,37.5331,-122.2471,9390.0537662545,,,
unicef.org,57.69.14.59,40.7128,-74.0059,6678.800778077,,,
devhub.com,166.78.40.223,29.4889,-98.3987,9058.41938289093,,,
artisteer.com,69.167.177.19,42.7257,-84.636,7141.95698258505,,,
unesco.org,193.242.192.41,48.8592,2.3417,1077.62785155884,,,
istockphoto.com,74.113.154.33,51.0272,-114.0349,7759.18449827648,,,
answers.com,67.196.156.65,40.8221,-74.4564,6697.87503295537,,,
trellian.com,103.224.182.21,-37.9867,145.035,15744.6517870442,,,
cocolog-nifty.com,cocolog-nifty.com,0,0,5904.19023439229,,,
i2i.jp,54.249.100.115,35.685,139.7514,8865.16482895238,,,
t-online.de,62.153.159.92,49.8647,8.62546,610.14962213012,,,
intel.com,198.175.116.54,37.3541,-121.9552,9397.5452176417,,,
1und1.de,217.160.72.6,50.0748,8.75573,595.024378519465,,,
ebay.co.uk,66.135.211.132,37.2803,-121.9567,9405.06989056162,,,
sciencedaily.com,199.83.132.70,39.0335,-77.4838,7021.30043237676,,,
paginegialle.it,212.48.3.250,45.4643,9.1895,853.182412081154,,,
ask.com,66.235.120.127,37.8113,-122.3008,9363.80492713966,,,
springer.com,62.50.45.35,52.782,-0.169098,1190.91767113284,,,
canalblog.com,195.137.184.103,43.6134,1.08126,1456.81681413311,,,
timesonline.co.uk,143.252.148.211,51.541,-0.143901,1191.89408227437,,,
de.vu,188.40.117.12,49.0976,12.4869,393.233264906993,,,
deliciousdays.com,80.67.17.218,48.2321,11.7068,498.404053247867,,,
